Tiempo (s),Velocidad total (m/s)
0.01,0.088
0.02,0.069
0.03,0.05
0.04,0.03
0.05,0.005
0.06,0.067
0.07,0.187
0.08,0.365
0.09,0.606
0.1,0.925
0.11,1.326
0.12,1.809
0.13,2.373
0.14,3.032
0.15,3.789
0.16,4.645
0.17,5.599
0.18,6.662
0.19,7.834
0.2,9.107
0.21,10.458
0.22,11.793
0.228,13
0.236,14.042
0.243,14.91
0.25,15.616
0.259,16.458
0.269,17.077
0.278,17.572
0.287,18.008
0.297,18.426
0.306,18.831
0.316,19.227
0.327,19.622
0.337,20.021
0.349,20.432
0.361,20.866
0.377,21.379
0.4,22.096
0.435,23.084
0.458,23.71
0.471,24.065
0.482,24.345
0.491,24.587
0.5,24.807
0.508,25.011
0.516,25.205
0.523,25.393
0.53,25.576
0.538,25.758
0.545,25.94
0.552,26.124
0.56,26.313
0.567,26.507
0.575,26.709
0.583,26.922
0.592,27.153
0.602,27.408
0.613,27.706
0.628,28.097
0.651,28.669
0.684,29.239
0.694,29.273
0.703,29.252
0.711,29.205
0.718,29.144
0.725,29.07
0.73,29.016
0.737,28.93
0.744,28.84
0.752,28.747
0.76,28.652
0.768,28.553
0.776,28.45
0.785,28.34
0.795,28.218
0.806,28.079
0.821,27.896
0.844,27.623
0.878,27.214
0.892,27.035
0.904,26.89
0.915,26.76
0.925,26.636
0.935,26.515
0.945,26.395
0.955,26.274
0.965,26.149
0.976,26.019
0.988,25.879
1.001,25.725
1.016,25.542
1.038,25.29
1.07,24.914
1.118,24.354
1.135,24.156
1.15,23.984
1.164,23.823
1.177,23.669
1.191,23.517
1.204,23.362
1.219,23.195
1.237,22.992
1.262,22.698
1.301,22.26
1.351,21.696
1.394,21.212
1.43,20.814
1.459,20.488
1.49,20.14
1.537,19.621
1.587,19.073
1.637,18.529
1.687,17.989
1.737,17.452
1.785,16.949
1.835,16.417
1.885,15.887
1.935,15.36
1.985,14.834
2.035,14.312
2.085,13.792
2.135,13.275
2.185,12.761
2.235,12.248
2.285,11.737
2.335,11.228
2.385,10.722
2.435,10.217
2.485,9.715
2.535,9.214
2.585,8.714
2.635,8.216
2.685,7.72
2.735,7.225
2.785,6.732
2.835,6.241
2.885,5.751
2.935,5.264
2.985,4.78
3.035,4.298
3.085,3.82
3.135,3.346
3.185,2.877
3.235,2.417
3.285,1.97
3.335,1.547
3.385,1.172
3.435,0.901
3.485,0.842
3.535,1.043
3.585,1.389
3.635,1.798
3.685,2.233
3.73,2.639
3.733,2.662
3.734,3.529
3.812,3.575
3.89,3.7
3.978,3.822
4.073,3.917
4.175,3.992
4.303,4.071
4.445,4.122
4.61,4.155
5.11,4.189
5.61,4.136
6.11,4.218
6.61,4.103
7.11,4.253
7.441,4.112
7.738,4.192
8.172,4.14
8.646,4.201
9.146,4.122
9.646,4.226
10.146,4.089
10.646,4.27
11.146,4.02
11.385,4.169
11.62,4.166
12.12,4.166
12.62,4.157
13.12,4.176
13.62,4.149
14.12,4.186
14.62,4.135
15.12,4.196
15.62,4.118
15.92,4.181
